Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",25.9334,9.3980,-90.0000,bottom
"C2","100nF","C_0805_2012Metric",35.8648,6.8834,0.0000,bottom
"C3","10uF","C_0805_2012Metric",25.9588,14.7574,90.0000,bottom
"C4","10pF","C_0805_2012Metric",43.7134,19.9390,-135.0000,bottom
"C5","10uF","C_0805_2012Metric",29.8704,17.0434,0.0000,bottom
"C6","100pF","C_0805_2012Metric",34.8488,30.2514,0.0000,bottom
"C7","12pF","C_0805_2012Metric",41.0464,25.0952,45.0000,bottom
"C9","15pF","C_0805_2012Metric",34.9758,24.4856,-90.0000,bottom
"C11","9.1pF","C_0805_2012Metric",28.7274,25.5016,0.0000,bottom
"C12","2.2pF","C_0805_2012Metric",31.1150,28.3972,0.0000,bottom
"C13","4.7pF","C_0805_2012Metric",28.1940,31.2166,90.0000,bottom
"C15","33pF","C_0805_2012Metric",20.7264,21.0058,-90.0000,bottom
"C17","100pF","C_0805_2012Metric",25.4762,21.3360,0.0000,bottom
"C19","100nF","C_0805_2012Metric",18.6944,21.0058,-90.0000,bottom
"C20","10uF","C_0805_2012Metric",24.7650,18.4404,-90.0000,bottom
"D1","M4","D_SMA",17.0180,10.4140,-90.0000,bottom
"D2","RED","LED_1206",43.3335,43.3840,180.0000,bottom
"D3","GREEN","LED_1206",43.3578,39.2938,180.0000,bottom
"J1","JUMP_3X2","Straight_2x03",21.8440,12.4460,0.0000,top
"J2","MCX","SMA6251A13G50",50.7900,20.9543,0.0000,top
"J3","MCX","SMA6251A13G50",50.7900,31.7493,0.0000,top
"J4","JUMP_3X2","Straight_2x03",40.6908,11.8364,0.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",26.6700,40.7677,90.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",16.5100,40.7670,90.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_2x01",24.1300,40.7670,90.0000,top
"J13","HEADER_2x01_PARALLEL","Straight_2x01",10.1600,26.6700,180.0000,top
"J14","HEADER_2x01_PARALLEL","Straight_2x01",10.1600,31.7500,180.0000,top
"J15","HEADER_2x01_PARALLEL","Straight_2x01",10.1600,29.2100,180.0000,top
"J16","HEADER_2x01_PARALLEL","Straight_2x01",10.1600,34.2900,180.0000,top
"J17","HEADER_2x01_PARALLEL","Straight_2x01",10.1600,16.5100,180.0000,top
"J19","HEADER_2x01_PARALLEL","Straight_2x01",10.1600,24.1300,180.0000,top
"J20","HEADER_2x01_PARALLEL","Straight_2x01",10.1600,19.0500,180.0000,top
"J21","HEADER_2x01_PARALLEL","Straight_2x01",10.1600,21.5900,180.0000,top
"J22","HEADER_2x01_PARALLEL","Straight_2x01",19.0500,40.7670,90.0000,top
"J23","HEADER_2x01_PARALLEL","Straight_2x01",21.5900,40.7670,90.0000,top
"L1","22nH","R_0805_2012Metric",47.0662,20.9550,180.0000,bottom
"L3","36nH","L_0805_2012Metric",42.3672,22.5298,135.0000,bottom
"L5","30nH","L_0805_2012Metric",37.7444,25.4508,180.0000,bottom
"L7","33nH","L_0805_2012Metric",32.2072,25.5016,180.0000,bottom
"L8","220nH","L_0805_2012Metric",26.1874,24.5110,90.0000,bottom
"L9","56nH","L_0805_2012Metric",31.0388,30.3276,180.0000,bottom
"L10","62nH","L_0805_2012Metric",26.9748,28.4480,-45.0000,bottom
"L11","74279204","L_0805_2012Metric",27.7876,19.3040,0.0000,bottom
"M1","HOLE","MountingHole_3mm",10.1600,40.6400,0.0000,top
"M2","HOLE","MountingHole_3mm",50.8000,40.6400,0.0000,top
"M3","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","HOLE","MountingHole_3mm",50.8000,10.1600,0.0000,top
"Q1","BC817","SOT-23",34.6975,42.9260,0.0000,bottom
"Q2","BC817","SOT-23",34.6975,39.3700,0.0000,bottom
"R1","3R","R_0805_2012Metric",28.5242,22.0218,90.0000,bottom
"R2","10k","R_0805_2012Metric",30.2260,43.1800,0.0000,bottom
"R3","10k","R_0805_2012Metric",30.2260,40.3860,0.0000,bottom
"R4","33R","R_0805_2012Metric",26.6700,36.3728,-90.0000,bottom
"R5","10k","R_0805_2012Metric",29.5910,37.1602,180.0000,bottom
"R9","33R","R_0805_2012Metric",14.7320,26.6700,0.0000,bottom
"R10","33R","R_0805_2012Metric",14.7320,31.7500,0.0000,bottom
"R11","33R","R_0805_2012Metric",14.7320,29.2100,0.0000,bottom
"R12","33R","R_0805_2012Metric",14.7320,34.2900,0.0000,bottom
"R13","33R","R_0805_2012Metric",22.7330,21.0058,90.0000,bottom
"R15","33R","R_0805_2012Metric",14.7320,24.1300,0.0000,bottom
"R16","33R","R_0805_2012Metric",14.7320,19.0500,0.0000,bottom
"R17","33R","R_0805_2012Metric",14.7320,21.5900,0.0000,bottom
"R18","33R","R_0805_2012Metric",19.0500,36.3220,-90.0000,bottom
"R19","33R","R_0805_2012Metric",21.5900,36.3220,-90.0000,bottom
"R22","150R","R_0805_2012Metric",38.5075,43.3840,180.0000,bottom
"R23","150R","R_0805_2012Metric",38.6334,39.3192,180.0000,bottom
"U1","LM1117MP-3.3","SOT-223-3_TabPin2",31.7500,11.9513,180.0000,bottom
"U2","Si4463","QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias",22.2150,26.1120,180.0000,bottom
"Y2","ABM3B-30.000MHZ-10-1-U-T","Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm",20.6756,32.1310,180.0000,bottom
